gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Celta_Vigo,2,2.0,0.0,0.0,2024-08-16,1,3,2,1,1,2.0,9,1
1,Barcelona,2,3.0,0.0,0.0,2024-08-17,1,3,2,1,1,3.0,9,2
1,Rayo_Vallecano,2,4.0,0.0,0.0,2024-08-18,1,3,2,1,1,4.0,9,3
1,Valladolid,1,2.0,0.0,0.0,2024-08-19,1,3,1,0,1,2.0,9,4
1,Las_Palmas,2,2.0,0.0,0.0,2024-08-16,1,1,2,2,0,2.0,9,5
1,Sevilla,2,2.0,0.0,0.0,2024-08-16,1,1,2,2,0,2.0,9,6
1,Girona,1,0.0,0.0,0.0,2024-08-15,1,1,1,1,0,0.0,9,7
1,Getafe,1,1.0,0.0,0.0,2024-08-15,1,1,1,1,0,1.0,9,8
1,Mallorca,1,1.0,0.0,0.0,2024-08-18,1,1,1,1,0,1.0,9,9
1,Real_Betis,1,2.0,0.0,0.0,2024-08-15,1,1,1,1,0,2.0,9,10
1,Leganes,1,2.0,0.0,0.0,2024-08-17,1,1,1,1,0,2.0,9,11
1,Osasuna,1,3.0,0.0,0.0,2024-08-17,1,1,1,1,0,3.0,9,12
1,Real_Madrid,1,0.0,1.0,0.0,2024-08-18,1,1,1,1,0,3.0,9,13
1,Athletic_Club,1,4.0,0.0,0.0,2024-08-15,1,1,1,1,0,4.0,9,14
1,Villarreal,2,1.0,0.0,0.0,2024-08-19,1,1,2,2,0,1.0,9,15
1,Atletico_Madrid,2,3.0,0.0,0.0,2024-08-19,1,1,2,2,0,3.0,9,16
1,Alaves,1,2.0,0.0,0.0,2024-08-16,1,0,1,2,-1,2.0,9,17
1,Valencia,1,2.0,0.0,0.0,2024-08-17,1,0,1,2,-1,2.0,9,18
1,Real_Sociedad,1,2.0,0.0,0.0,2024-08-18,1,0,1,2,-1,2.0,9,19
1,Espanyol,0,2.0,0.0,0.0,2024-08-19,1,0,0,1,-1,2.0,9,20
